Product Name,Category,Cost Price,Selling Price,Quantity,Expiry Date (YYYY-MM-DD),Reorder Level
V22 CARROT FACE CR,CREAM,,48.00,2,,
AMIS HALF CAST FACE CR,CREAM,,65.00,1,,
BELLE VIE SOAP,SOAP,,35.00,0,,
TEA TREE FOAMING WASH,Uncategorized,,35.00,11,,
TEA TREE TONER,Uncategorized,,35.00,5,,
TEA TREE FACIAL SCRUB,Uncategorized,,35.00,9,,
VITAMIN C FACIAL SCRUB,Uncategorized,,35.00,6,,
VITAMIN C MOISTURISER,Uncategorized,,35.00,0,,
FEBREZE AIR MIST,Uncategorized,,40.00,1,,
TEA TREE CLEANING WIPE,Uncategorized,,23.00,1,,
KILIT INSECTICIDE,Uncategorized,,35.00,7,,
HEAVEN INSECTICIDE,Uncategorized,,38.00,20,,
GS 77 SHAMPOO,Uncategorized,,40.00,2,,
BODMAN SPRAY,SPRAY,,55.00,0,,
BELIEVE SPRAY(BAG),SPRAY,,150.00,1,,
SURE MEN,Uncategorized,,40.00,2,,
SURE WOMEN,Uncategorized,,40.00,3,,
DOVE MEN,Uncategorized,,40.00,6,,
DOVE WOMEN,Uncategorized,,40.00,3,,
RIGHT GUARD,Uncategorized,,40.00,0,,
V ONE,Uncategorized,,30.00,7,,
REXONA MEN,Uncategorized,,38.00,19,,
REXONA WOMEN,Uncategorized,,38.00,12,,
VIBE SPRAY,SPRAY,,30.00,4,,
GALAXY SPRAY,SPRAY,,35.00,7,,
MATELOT DOE SPRAY,SPRAY,,48.00,5,,
NIVEA MEN SPRAY B/S,SPRAY,,60.00,1,,
NIVEA MEN SPRAY M/S,SPRAY,,55.00,2,,
NIVEA MEN SPRAY S/S,SPRAY,,45.00,1,,
TODAY FAMINE WASH,Uncategorized,,22.00,1,,
ASANTE FACE CR,CREAM,,50.00,0,,
DR. RASHEL ANTI-AGING SUNSCREEN,Uncategorized,,45.00,2,,
DOVE BAR SOAP,SOAP,,50.00,2,,
SAIRO BABY SHAMPOOING,Uncategorized,,28.00,7,,
SAIRO ROUND SHOWER,Uncategorized,,40.00,2,,
SAIRO FAMILY,Uncategorized,,28.00,5,,
CARO WHITE GEL S/S,GEL,,24.00,4,,
PERFECT WHITE GEL S/S,GEL,,40.00,2,,
CARO WHITE GEL B/S,GEL,,40.00,3,,
AURATA GEL,GEL,,18.00,2,,
WHITE SECRET GEL S/S,GEL,,24.00,6,,
WHITE SECRET GEL B/S,GEL,,40.00,3,,
ALWAYS YOUNG GEL,GEL,,40.00,1,,
BRAVIA SHOWER GEL,GEL,,28.00,2,,
BERMIE BRAND GEL,GEL,,85.00,1,,
DOVE SHOWER GEL,GEL,,80.00,0,,
PAPAYA SHOWER GEL,GEL,,120.00,2,,
QUICK WHITE SHOWER GEL,GEL,,120.00,2,,
GLUTA WHITESHOWER GEL B/S,GEL,,110.00,6,,
MILMIL SHOWER GEL,GEL,,65.00,3,,
STYLE UP SHOWER GEL,GEL,,30.00,9,,
IDEAL SETTING LOTION,LOTION,,45.00,1,,
IDEAL LEAVE IN,Uncategorized,,45.00,0,,
CLAIRMEN SHOWER GEL S/S,GEL,,24.00,2,,
CLAIRMEN SHOWER GELB/S,GEL,,40.00,16,,
VIP SHOWER GEL,GEL,,18.00,2,,
PAWPAW SHOWER GEL,GEL,,24.00,2,,
GLUTA WHITE SHOWER GEL,GEL,,40.00,17,,
CAROTONE SHOWER GEL,GEL,,30.00,8,,
KLEANZ SHOWER GEL,GEL,,24.00,4,,
FRUIZER SHOWER GEL B/S,GEL,,70.00,3,,
YAZZ PAD,PAD,,15.00,23,,
BLESSING PAD,PAD,,8.00,15,,
SOFTCARE PAD,PAD,,15.00,12,,
YAZZ PANTY LINER,Uncategorized,,13.00,13,,
YAZZ BABY WIPE,Uncategorized,,18.00,0,,
YAZZ T ROLL,Uncategorized,,33.00,1,,
YAZZ KITCHEN TOWEL,Uncategorized,,25.00,5,,
YAZZ TABLE TISSUE,Uncategorized,,7.00,30,,
BOBO T ROLL,Uncategorized,,24.00,12,,
ECO T ROLL,Uncategorized,,30.00,0,,
CARMEL ANTISEPTIC S/S,Uncategorized,,15.00,0,,
CARMEL ANTISEPTIC M/S,Uncategorized,,24.00,0,,
CARMEL ANTISEPTIC B/S,Uncategorized,,45.00,1,,
MADAR ZONE M/S,Uncategorized,,12.00,16,,
PEPSODENT B/S,Uncategorized,,18.00,27,,
PEPSODENT S/S,Uncategorized,,12.00,3,,
PEPSODENT CHARCOAL,Uncategorized,,20.00,3,,
KEY SOAP BAR,SOAP,,22.00,5,,
AMONIA SOAP B/S,SOAP,,9.00,4,,
AMONIA SOAP S/S,SOAP,,6.00,15,,
FLASH SOAP S/S,SOAP,,6.00,21,,
JAMAA SOAP B/S,SOAP,,8.00,22,,
JAMAA SOAP M/S,SOAP,,6.00,28,,
MEDISOFT SOAP,SOAP,,35.00,11,,
IRISH SPRING SOAP PCS,SOAP,,15.00,0,,
MEDITWIST SOAP,SOAP,,35.00,0,,
CUSSON SOAP,SOAP,,35.00,74,,
ALIFE SOAP S/S,SOAP,,4.00,18,,
ALIFE SOAP B/S,SOAP,,8.00,5,,
JULIET SOAP,SOAP,,8.00,19,,
MABEL SOAP,SOAP,,5.00,31,,
JUMBO SOAP,SOAP,,10.00,20,,
GEISHA SOAP M/S,SOAP,,11.00,11,,
PERLA SOAP S/S,SOAP,,4.00,14,,
KLEESOFT SOAP S/S,SOAP,,4.00,29,,
KLEESOFT SOAP B/S,SOAP,,7.00,27,,
ATHENA SOAP,SOAP,,5.00,15,,
AVRIL SOAP S/S,SOAP,,4.00,32,,
AVRIL SOAP B/S,SOAP,,6.00,27,,
KLEESOFT WASHING POWDER B/S,POWDER,,45.00,0,,
SO KLIN S/S,Uncategorized,,1.50,85,,
SO KLIN M/S,Uncategorized,,3.00,1,,
DOFFI WASHING POWDER,POWDER,,2.00,48,,
MOSSE WASHING POWDER,POWDER,,2.00,77,,
PEPSODENT SACHET,Uncategorized,,1.00,215,,
ALATA SOAP CONTAINER,SOAP,,35.00,10,,
CARBOLIC SOAP,SOAP,,5.00,32,,
CARBOLIC(GREEN AND RED) SOAP,SOAP,,2.00,14,,
OBOLO SOAP B/S,SOAP,,12.00,64,,
OBOLO SOAP S/S,SOAP,,6.00,91,,
FIRST LADY CR S/S,CREAM,,12.00,6,,
FIRST LADY CR B/S,CREAM,,18.50,4,,
DAY BY DAY MEN RUBB B/S,Uncategorized,,14.00,6,,
AGE BALANCE LOT,LOTION,,50.00,1,,
PALMERS COCOA BUTTER LOT,LOTION,,135.00,1,,
PALMERS SKIN THERAPY OIL,Uncategorized,,170.00,0,,
PALMERS MOISTURIZES OIL,Uncategorized,,120.00,0,,
BABY FACE LOT,LOTION,,100.00,0,,
ACNE CLEAR FACIAL FOAM,Uncategorized,,35.00,1,,
BISMID SHOWER GEL,GEL,,100.00,2,,
SKIN DOCTOR SHOWER GEL,GEL,,100.00,1,,
E WHITE BODY LOT,LOTION,,120.00,3,,
KOJIE - SAN FACE CR,CREAM,,40.00,0,,
KORMESIC PEEL- OFF MASK,Uncategorized,,15.00,2,,
SECRET HERBS HAIR MOISTURIZER,Uncategorized,,45.00,0,,
FINAL GLOW BODY LOT,LOTION,,120.00,3,,
NEUTROGENA BLACKHEAD,Uncategorized,,60.00,1,,
STIVES FACIAL SCRUB,Uncategorized,,45.00,2,,
MALIZIA HAIR SPRAY M/S,SPRAY,,40.00,1,,
DEAR BODY SCRUB,Uncategorized,,35.00,7,,
DEAR BODY DEO,Uncategorized,,48.00,2,,
DEAR BODY HAIR SPRAY,SPRAY,,20.00,5,,
ACTIVE BALANCE LOT,LOTION,,120.00,2,,
ACTIVE CAVIAR DRIP LOT,LOTION,,120.00,2,,
ACTIVE CAVIAR GLOW LOT,LOTION,,150.00,3,,
RAPID BEAUTY BODY LOT,LOTION,,120.00,2,,
FILIPINO BODY LOT,LOTION,,120.00,1,,
EXENCE WHITE BODY LOT & CO,LOTION,,200.00,7,,
PURE EGYPTIANS GOLD LOT,LOTION,,95.00,0,,
REAL GOLD BODY LOT,LOTION,,100.00,1,,
ORBI BODY LOT,LOTION,,100.00,2,,
OLAY BODY LOT,LOTION,,250.00,2,,
LUMINE GOLD LOT,LOTION,,120.00,0,,
PARLEY BODY LOT,LOTION,,100.00,4,,
PARLEY FULL BODY LOT,LOTION,,75.00,5,,
GLUTATHIONE BODY LOT,LOTION,,45.00,3,,
SECRET WHITE BODY LOT,LOTION,,70.00,1,,
TOUCH GLOW BODY LOT,LOTION,,60.00,3,,
VASELINE DAILY BRIGHTENING LOT,LOTION,,150.00,1,,
KOJIC INJECTION BODY LOT,LOTION,,120.00,2,,
VIBE BODY LOT,LOTION,,45.00,4,,
VIBE SHOWER GEL,GEL,,50.00,2,,
FC MULTI FRUIT,Uncategorized,,75.00,2,,
FC BLEMISH CONTROL LOT,LOTION,,65.00,1,,
FC CREAM,Uncategorized,,37.00,1,,
FC SOAP,SOAP,,35.00,1,,
HEAVENSCENT CREAM,Uncategorized,,35.00,16,,
HEAVENSCENT LOT,LOTION,,35.00,30,,
TUMERIC VITAMIN C FACIAL,Uncategorized,,50.00,1,,
TUMERIC AND HONEY FACIAL,Uncategorized,,50.00,0,,
24K FACE CR,Uncategorized,,50.00,3,,
GLUTAONE INJECTION FACE CR,CREAM,,45.00,3,,
PIMENT FACE CR,CREAM,,30.00,1,,
3 IN ONE KOJIC FACIAL,Uncategorized,,50.00,2,,
ANTI PIMPLE FACIAL,Uncategorized,,50.00,1,,
VEETGOLD TUMERIC SOAP,SOAP,,50.00,1,,
TUMERIC SOAP,SOAP,,30.00,4,,
KOJIE-SAN SOAP,SOAP,,22.00,41,,
SKIN MAGNET LOT,LOTION,,28.00,11,,
RAPID CLAIR LOT B/S,LOTION,,100.00,1,,
RAPID CLAIR LOT S/S,LOTION,,60.00,2,,
GLUPA BODY LOT,LOTION,,120.00,3,,
TENDER WHITE LOT B/S,LOTION,,44.00,3,,
SKIN SUCCESS PALMERS,Uncategorized,,130.00,1,,
MISS WHITE LOT,LOTION,,130.00,1,,
BABY MED LOT,LOTION,,38.00,4,,
BEBE SUISSE,Uncategorized,,20.00,4,,
7/17 KIDS RELAXER S/S,RELAXER,,13.00,12,,
7/17 KIDS RELAXER B/S,RELAXER,,20.00,4,,
COLOUR ME SPRAY,SPRAY,,50.00,2,,
NOW PERFUME,Uncategorized,,230.00,0,,
LE SPRAY,SPRAY,,24.00,2,,
RED DIAMOND PERFUME,Uncategorized,,100.00,1,,
ASANTE SOAP,SOAP,,20.00,1,,
KOJIC WHITE SHOWER GEL,GEL,,100.00,2,,
NANO SHOWER GEL,GEL,,100.00,2,,
SECRET FORMULA SHOWER GEL,GEL,,45.00,4,,
SECRET FORMULA SHOWER GEL SCRUB,GEL,,60.00,4,,
MALIZIA SHOWER GEL,GEL,,60.00,3,,
OLAYBACT SHOWER GEL,GEL,,70.00,1,,
FASHION FAIR TUBE,Uncategorized,,19.00,10,,
PURE MAX FACIAL,Uncategorized,,50.00,0,,
LOMANI CODE SPRAY,SPRAY,,150.00,1,,
MOUSUF SPLASH,Uncategorized,,55.00,0,,
ROUSHUN VC GLOWING OIL,Uncategorized,,40.00,0,,
ROUSHUN TUMERIC FACE WASH,Uncategorized,,60.00,1,,
ROUSHUN VITAMIN E SERUM,Uncategorized,,35.00,0,,
FAIR CHILD SHOWER GEL,GEL,,45.00,1,,
DAY BY DAY SHOWER GEL,GEL,,30.00,3,,
BRUT DEO SPRAY,SPRAY,,40.00,6,,
AXE DEO SPRAY B/S,SPRAY,,45.00,2,,
AXE DEO SPRAY S/S,SPRAY,,35.00,5,,
ELEMENT TIN SPRAY,SPRAY,,25.00,6,,
SOCCER DEO SPRAY,SPRAY,,30.00,6,,
VIBE ROLL ON,ROLL ON,,20.00,5,,
EXPLORE TIN SPRAY,SPRAY,,28.00,5,,
CT PLUS CARROT LOT,LOTION,,34.00,5,,
TURA SOAP,SOAP,,5.00,1,,
DR.DAVEY DARK KNUACKLE,Uncategorized,,60.00,3,,
JRA CREAM M/S,CREAM,,18.00,6,,
JRA CREAM M/S2,CREAM,,22.00,6,,
JRA CREAM S/S,CREAM,,10.00,14,,
JRA CREAM B/S,CREAM,,38.00,0,,
BOMB SPLASH,Uncategorized,,15.00,2,,
NABEEZ SPRAY,SPRAY,,160.00,1,,
MR. ENGLAND SPRAY,SPRAY,,150.00,3,,
LA NUIT ROSE PERFUME,Uncategorized,,150.00,1,,
ESCANDEL KING PERFUME,Uncategorized,,150.00,1,,
A1 RELAXER B/S,RELAXER,,195.00,0,,
IC RELAXER,RELAXER,,125.00,5,,
LUSH RELAXER,RELAXER,,85.00,0,,
B. O 16 HAIR FOOD,Uncategorized,,18.00,22,,
WRITER SPRAY S/S,SPRAY,,40.00,1,,
DR. RASHEL SKIN CARE SERUM,Uncategorized,,100.00,2,,
COCOA PULP LOT S/S,LOTION,,22.00,12,,
COCOA PULP LOT B/S,LOTION,,40.00,1,,
JEBA HAIR FOOD S/S,Uncategorized,,22.00,4,,
JEBA HAIR FOOD M/S,Uncategorized,,35.00,6,,
JEBA HAIR FOOD B/S,Uncategorized,,49.00,1,,
SIMPLE FACIAL WASH,Uncategorized,,65.00,8,,
RED ROSE PERFUME OIL,Uncategorized,,14.00,8,,
SUPER BLACK,Uncategorized,,14.00,1,,
MOVATE/LEMOVATE,Uncategorized,,11.00,5,,
TOP GEL PLUS,GEL,,12.00,0,,
CHARCOAL MASK,Uncategorized,,15.00,2,,
FAR AWAY TIN SPRAY,SPRAY,,28.00,6,,
NESO TIN,Uncategorized,,34.00,5,,
ELOPE TIN,Uncategorized,,34.00,6,,
COOL BREEZE TIN,Uncategorized,,34.00,6,,
ERATO TIN,Uncategorized,,44.00,4,,
EXTRA STRONG PEELING OIL,Uncategorized,,45.00,0,,
ALOE VERA & VITAMIN C GEL,GEL,,35.00,7,,
TOP COLLECTION DEO SPRAY,SPRAY,,18.00,3,,
PIMENT DOUX SERUM,Uncategorized,,38.00,9,,
AMIS SOAP SCRUB,SOAP,,65.00,0,,
VITAMIN E CAPSULE,Uncategorized,,18.00,3,,
NAOMI TUBE,Uncategorized,,10.00,3,,
NOVA COCOA BUTTER LOT S/S,LOTION,,14.00,3,,
NOVA COCOA BUTTER LOT B/S,LOTION,,24.00,3,,
JERGENS BODY LOT,LOTION,,170.00,2,,
B. O 16 CONDITION AND SHAMPOO,Uncategorized,,35.00,1,,
DR JOHNSON BALM B/S,Uncategorized,,18.00,12,,
DR JOHNSON BALM S/S,Uncategorized,,9.00,12,,
SCISSORS,Uncategorized,,6.00,11,,
BREEZE AIR FRESHNER,Uncategorized,,12.00,18,,
BUTTERFLY AIR FRESHNER,Uncategorized,,6.00,119,,
NAZO PIECES,Uncategorized,,4.00,131,,
NAZO PACKS,Uncategorized,,35.00,12,,
SO KLIN AFTERWASH PIECES,Uncategorized,,5.00,24,,
SO KLIN AFTERWASH LINE,Uncategorized,,45.00,3,,
ANGOLA TOOTHPASTE,Uncategorized,,8.00,6,,
CHARLIE TOOTHPASTE,Uncategorized,,8.00,1,,
YAZZ ADULT TOOTHBRUSH,Uncategorized,,3.00,36,,
YAZZ KIDS TOOTHBRUSH,Uncategorized,,2.00,24,,
KIDS TOOTHBRUSH,Uncategorized,,2.00,22,,
SUNLIGHT LIQUID SOAP,SOAP,,24.00,3,,
KLEANZ HAND SANITIZER M/S,Uncategorized,,20.00,4,,
KLEANZ HAND SANITIZER S/S,Uncategorized,,4.00,3,,
BELLE VIE BATHING SOAP,SOAP,,35.00,4,,
SECRET FORMULA BATHING SOAP,SOAP,,55.00,3,,
BLADE PACK,Uncategorized,,2.00,14,,
EAR BUD,Uncategorized,,1.50,4,,
COTTON BUD,Uncategorized,,20.00,7,,
BEAUTY FORMULA SERUM,Uncategorized,,38.00,5,,
ERA CAR AIR FRESHENER,Uncategorized,10.00,15.00,17,,
PERDICURE SET,Uncategorized,120.00,150.00,1,,
FRAGRANCE WORLD PERFUME,Uncategorized,110.00,150.00,20,,
WRITER PERFUME B/S,Uncategorized,170.00,190.00,0,,
SECRET AMOR BODY SPLASH,Uncategorized,50.00,55.00,4,,
MATELOT WITH ROLL ON PACK,Uncategorized,120.00,160.00,2,,
RICHMAN PERFUME,Uncategorized,135.00,175.00,0,,
HOT PERFUME AND MANCERA PERFUME,Uncategorized,85.00,120.00,2,,
RAMZ LATTAFA,Uncategorized,180.00,220.00,1,,
NO. 3 PERFUME,Uncategorized,54.00,58.00,2,,
VANILLA CRUSH,Uncategorized,24.00,30.00,9,,
EAU DE PERFUME,Uncategorized,24.00,35.00,14,,
"I AM WHITE, GOLD & DIAMOND CREAM",Uncategorized,145.00,190.00,18,,
VEET GOLD SCRUB ALL TYPES,Uncategorized,75.00,80.00,5,,
PALMERS CREAM,Uncategorized,140.00,160.00,1,,
DR TEALS SCRUB,Uncategorized,85.00,100.00,0,,
BLOOMS TOUCH,Uncategorized,8.00,10.00,17,,
ECOGEL M/S,Uncategorized,40.00,45.00,2,,
ECOGEL B/S,Uncategorized,70.00,70.00,1,,
H20 NATURAL CREAM,Uncategorized,18.00,20.00,10,,
PURE SKIN LOTION,Uncategorized,19.00,22.00,6,,
SOAP TUMERIC,Uncategorized,28.00,30.00,6,,
SHAMPOO AND CONDITIONER SET,Uncategorized,45.00,60.00,1,,
PEDICURE SET,Uncategorized,140.00,150.00,1,,
EASY GLOW SHOWER GEL,Uncategorized,120.00,140.00,2,,
BODY MILK LOT,Uncategorized,60.00,80.00,1,,
MADAR ZONE B/S,Uncategorized,11.00,15.00,7,,
PERFUME BALLS,Uncategorized,14.00,15.00,38,,
MADAR RENZO B/S,Uncategorized,16.00,18.00,17,,
MADAR RENZO M/S,Uncategorized,10.00,12.00,24,,
MADAR RENZO S/SLS,Uncategorized,4.00,6.00,23,,
MADAR GETTOL B/S,Uncategorized,24.00,30.00,17,,
MADAR GETTOL M/S,Uncategorized,10.00,18.00,23,,
HAIR BRUSH B/S,Uncategorized,7.50,9.00,12,,
HAIR BRUSH S/S RUBBER,Uncategorized,3.00,4.00,9,,
LIP BALM,Uncategorized,14.00,18.00,16,,
RICHMAN PERFUME S/S,Uncategorized,40.00,45.00,5,,
FACE TOWEL B/S,Uncategorized,10.00,12.00,5,,
FACE TOWEL S/S,Uncategorized,4.00,6.00,7,,
1 TAIL COMB,Uncategorized,1.00,2.00,59,,
2 TAIL COMB,Uncategorized,1.50,2.00,60,,
AFRO COMB M/S,Uncategorized,3.00,4.00,9,,
SUNLIGHT SOAP,Uncategorized,5.00,5.50,48,,
GEISHA BLACK SOAP,Uncategorized,13.00,15.00,15,,
PEPSODENT DOUBLE,Uncategorized,27.00,30.00,14,,
KOL TOILET ROLL,Uncategorized,44.00,48.00,2,,
PEPSODENT KIDS TOOTHPASTE,Uncategorized,7.00,9.00,4,,
CARROT SOAP,Uncategorized,8.00,10.00,8,,
SOAP TURA,Uncategorized,4.00,5.00,2,,
KOJIC PAPAYA SOAP,Uncategorized,25.00,30.00,4,,
IMPERIAL LEATHER SOAP B/S,Uncategorized,10.00,15.00,2,,
HAIR AND BEARD OIL,Uncategorized,20.00,30.00,5,,
MASS GEL S/S,Uncategorized,7.00,10.00,30,,
PINK LIPS S/S,Uncategorized,10.00,15.00,0,,
HAND CREAM,Uncategorized,5.00,7.00,7,,
MIKI LIQUID SHOE POLISH BLACK,Uncategorized,8.00,10.00,11,,
MIKI LIQUID SHOE POLISH BROWN,Uncategorized,10.00,10.00,12,,
WILDWOLF SHOE POLISH BLACK,Uncategorized,12.00,15.00,10,,
QUICK SHINE POLISH,Uncategorized,7.00,8.00,8,,
PURE LOVE TIN,Uncategorized,26.00,30.00,4,,
MASS GEL M/S,Uncategorized,17.00,20.00,2,,
IDEAL HAIR FOOD B/S,Uncategorized,45.00,58.00,2,,
SURE ROLL ON,Uncategorized,18.00,20.00,6,,
YAZZ KITCHEN TOWEL B/S,Uncategorized,30.00,35.00,18,,
BLACK SOCKS B/S,Uncategorized,5.00,6.00,10,,
STAY YOUNG CREAM S/S,Uncategorized,8.00,10.00,12,,
CHOCHO CREAM TUBE,Uncategorized,8.00,10.00,5,,
MERCY CREAM TUBE,Uncategorized,9.00,10.00,1,,
SUNSHINE AIR FRESHENER FLAT,Uncategorized,6.00,8.00,19,,
SUNSHINE AIR FRESHENER CONTAINER,Uncategorized,8.00,10.00,11,,
FATALA MOSQUITO SPRAY B/S,Uncategorized,40.00,45.00,12,,
FATALA MOSQUITO SPRAY S/S,Uncategorized,24.00,24.00,21,,
LORD SHAVING STICK,Uncategorized,6.00,8.00,29,,
JOHNSON BABY OIL M/S,Uncategorized,42.00,48.00,2,,
JOHNSON BABY OIL S/S,Uncategorized,32.00,38.00,1,,
DIPROSON TUBE,Uncategorized,7.50,9.00,11,,
COLOURANT HAIR DYE,Uncategorized,54.00,58.00,2,,
SPARK TOUCH PERFUME,Uncategorized,18.00,20.00,9,,
PRINCESS PAA ALOE VERA CREAM B/S,Uncategorized,22.00,25.00,4,,
IDEAL CONDITIONER,Uncategorized,48.00,54.00,5,,
IDEAL SHAMPOO,Uncategorized,38.00,45.00,3,,
COLLAGEN CREAM,Uncategorized,40.00,50.00,4,,
COLLAGEN SERUM,Uncategorized,40.00,50.00,6,,
COLLAGEN MOISTURIZER,Uncategorized,50.00,65.00,6,,
COLLAGEN SOAP,Uncategorized,30.00,40.00,12,,
DISAAR FACIAL,Uncategorized,40.00,45.00,6,,
DISAAR SUNSCREEN,Uncategorized,45.00,50.00,24,,
HEEL BALM,Uncategorized,12.00,15.00,56,,
24K COLLAGEN FACIAL CREAM,Uncategorized,30.00,45.00,4,,
INTIMATE SPRAY,Uncategorized,30.00,40.00,2,,
FRESH VAGINAL WASH,Uncategorized,25.00,28.00,4,,
PEPSODENT CHARCOAL VERY SMALL SIZE,Uncategorized,5.00,6.00,9,,
ROUSHON VITAMIN C SERUM,Uncategorized,30.00,35.00,2,,
LOTION ECCLAIRCISSANT,Uncategorized,25.00,35.00,11,,
FATALA MOSQUITO COIL,Uncategorized,7.00,8.00,8,,
PURE BLACK ORIGINAL PERFUME,Uncategorized,80.00,100.00,5,,
NOSE MASK,Uncategorized,0.95,1.00,95,,
FLIPFLOP B/S,Uncategorized,10.00,12.00,14,,
SECRET PERFUME OIL,Uncategorized,13.00,15.00,30,,
ALATA SOAP B/S,Uncategorized,8.00,10.00,9,,
ALATA SOAP,Uncategorized,4.00,5.00,21,,
COMFORT AFTERWASH,Uncategorized,1.50,2.00,100,,
SUPER GLUE,Uncategorized,2.00,2.50,9,,
CAMPHOR SACHET S/S,Uncategorized,1.50,2.00,9,,
CHALLENGE AND BALIA SPRAY S/S,Uncategorized,4.50,5.00,20,,
FAULTLESS STARCH SPRAY,Uncategorized,40.00,45.00,11,,
VASELINE DAILY BRIGHTENING,Uncategorized,100.00,120.00,2,,
FRUISER SHOWER GEL S/S,Uncategorized,30.00,35.00,2,,
VASELINE DRY SKIN REPAIR,Uncategorized,130.00,150.00,1,,
CAROTONE OIL,Uncategorized,10.00,12.00,2,,
OBAAPA S/S,Uncategorized,7.00,10.00,4,,
FUNTONE SOAP,Uncategorized,3.00,3.50,18,,
SNAIL WHITE LOT,Uncategorized,28.00,30.00,2,,
EMERGENCY SPRAY S/S,Uncategorized,10.00,12.00,4,,
PHARMADERM INTIMATE WASH,Uncategorized,20.00,25.00,2,,
DISAAR VITAMIN C & OTHERS,Uncategorized,20.00,28.00,63,,
AQUALIS SHOWER GEL,Uncategorized,55.00,65.00,4,,
VICTORIA WORLD SPLASH B/S,Uncategorized,25.00,30.00,5,,
FAR AWAY BODY SPLASH,Uncategorized,25.00,30.00,6,,
